pid,cond,condLabel,dv,dv_binary,FreeResponse,Duration,ResponseId,RepeatTurkerLabelCode
1,xB5,AV2.auto,5,0,I think that any of those actions should override the self driving feature.,,R_1BQTEYuLX1DHTjp,0
9,xA5,AV2.lever,5,0,I think that they should have that option in case of malfunction.,,R_23em2gQyaW2oPxH,1
14,xA5,AV2.lever,3,0,it felt right to me,,R_1jjO4BDIrmo7fCw,0
16,xB5,AV2.auto,5,0,This allows the most options in driving. It allows the human to take control in an emergency.,,R_3n6hPBrUZVtkLwc,1
23,xA5,AV2.lever,5,0,I think that it is always best to have a way to override a machine if possible. This decision would allow a human to correct an error that the car is trying to perform.,,R_3JI8jVcrh5ZDmRa,0
32,xB5,AV2.auto,5,0,It would make me feel safer to know that I could override the car if necessary,,R_3psdmnYQIQoui63,0
43,xB5,AV2.auto,5,0,Computers are not 100% reliable. It can't predict all the movements but human intuition can steer clear of things that may happen that cause harm to the driver or passengers.,,R_3kwecSwLo020qtJ,0
54,xA5,AV2.lever,1,1,because he is stupid!,,R_2e5cVgaYVbqSPV2,0
55,xA5,AV2.lever,4,0,I think  thats a  fantastic idea  as it  can be  very  dangerous  to put  all of  our  faith in  a machine .  This  shows maturity and responsibility,,R_2rj3MWOGFl0wXfS,0
56,xB5,AV2.auto,5,0,"Automation will be helpful, but sometimes human reactions are faster and process situations differently.  Self driving cars will be safer, but it is important that we still have the ability to control.",,R_Rgi1kTzwtqT2gff,0
64,xB5,AV2.auto,5,0,i chose very appropriate because a human should always have control over a car or machine. i don't want to own a car that i can't take control over.,,R_1pyXOzo2NNKHAea,0
66,xB5,AV2.auto,4,0,EVEN IF THE CAR IS SELF-DRIVING - A HUMAN NEEDS TO HAVE THE OPTION FOR TOTAL CONTROLL,,R_1JL5awu0N9eVFoQ,0
83,xA5,AV2.lever,3,0,Because this technology is so new the outcome of allowing the car to be self driven is not known so I dont know if this is an appropriate decision or not.,,R_2zvxpoUiwe0rkLF,0
88,xB5,AV2.auto,5,0,Well it would be a lot safer if you can override the system in case of emergency. I would be less likely to get in a car that i could not control in case i had to.,,R_x9DPzyUc7TrBmeJ,1
89,xA5,AV2.lever,5,0,it is more appropriate for the car to be controlled by human beings. We can not fully believe in a car driving system. It may happen that the system implemented in the car has problems then they should intervene to solve the problem and to avoid accidents,,R_1pYD8QTulIFMjlx,0
95,xB5,AV2.auto,5,0,the override option would make people feel safe and in control if the need happens.,,R_1loU4BxnGPZseUR,1
102,xA5,AV2.lever,5,0,"I think it's important to have some sort of override to the autonomy of the cars.  Also, knowing that there is a sense of control when you need it will give people peace of mind when riding in one of these vehicles.",,R_2xPi7TlT4QsIclg,0
103,xB5,AV2.auto,5,0,"If there happens to be computer error, then a person has to take control to prevent an accident",,R_12lpHd51AoLTdcJ,0
113,xA5,AV2.lever,5,0,"I think that until these cars are fully tested and we know more about them, having a human option to intervene is a safe idea.",,R_323eWniFbLJdjEZ,0
114,xB5,AV2.auto,3,0,it may give positive nor negative opinion of the people,,R_2e8CgOQKKPdjsGl,0
129,xB5,AV2.auto,5,0,We have been driving without self-mode and it is the reason why we have to take a drivers test. This should be a rule.,,R_2TBQfOAK3uL88we,0
130,xA5,AV2.lever,5,0,It allows people to use the safer self driving option while also allowing them to take control if they see the car is going the wrong way.,,R_2sckITudQPLvy2L,0
136,xA5,AV2.lever,4,0,I am not sure about the safety of self-driving cars.,,R_2fllPLVc9SjyguD,0
140,xB5,AV2.auto,5,0,I applaud the decision of the CEO. Self-driving cars still have the probabilities that something might go wrong with the car's system and knowing that a human can have as much control over the car if something goes wrong or the human thinks that his life might be in danger means that the CEO of this company takes his potential clients safety in mind.,,R_3pgKUNLxlCwPXGK,0
153,xA5,AV2.lever,2,1,n/a,,R_1qWnsKIpav5Lzrs,0
154,xB5,AV2.auto,5,0,Because the alternative does not make any sense whatsoever.,,R_24eMYb5cNAxFVS5,0
164,xB5,AV2.auto,5,0,"because safety is number one concern when driving a car. People can not fully trust a computer to drive the car, when there is an emergency situation, the driver should be able to control himself.",,R_3MfoDqM1JRcHZiF,0
166,xA5,AV2.lever,5,0,While self driving cars are generally safe it is possible for a malfunction to occur. It seems reasonable if some emergency arrises the driver can override the system to drive the car as one would currently do so today.,,R_2YEZKDqZ71NMwIx,0
172,xA5,AV2.lever,4,0,It would be safe to have an option to give drivers the ability to drive the car,,R_1GBsVgPnPg1MdHv,0
178,xB5,AV2.auto,5,0,"This will help people avoid accidents. Self-driving cars lack free will and judgment that people have, so people need to be able to override the feature in emergencies, especially.",,R_5mvtL3DlR75HPnr,0
181,xA5,AV2.lever,5,0,The CEO thought ahead to be certain that if the self driving mode failed they had backup. He also knows that accidents happen and the ability to take over is a good one.,,R_2YWn3is2u27C8Vn,0
187,xB5,AV2.auto,4,0,The override would be a necessary safety component. It should be included with the system.,,R_1EXwniD7vWEgXsr,0
196,xB5,AV2.auto,4,0,"The self-driving algorithm could be wrong, and people should have control over their own cars.",,R_SNNXjb1nJwARVNT,0
199,xA5,AV2.lever,5,0,"Because not all people will feel comfortable about not having control of the car.
This was the riders have to option of driving themselves or letting the car drive.",,R_PwcS87INGeHB9yF,0
205,xB5,AV2.auto,5,0,We shouldn't trust everything into machines. There can always be a .00001% change it malfunctions. There should always be a backup / safe plan like the CEO has done.,,R_3iWHt6wWlGrK4qq,0
210,xA5,AV2.lever,1,1,"If you own a car, automated or not you should be able to drive it. Now if it's a company car or government car there may be some exceptions.",,R_3MxGRWrzx6D4zUx,0
216,xA5,AV2.lever,5,0,I don't trust self driving cars at all. I'd feel more confident if a driver could switch over to manually control the vehicle in case of a malfunction.,,R_Wjnzb0cwdwlrgm5,0
218,xB5,AV2.auto,5,0,if the car were to malfunction the individuals can take back control.,,R_2f7OiOrnaGO4m9m,0
226,xA5,AV2.lever,3,0,I'm not the moral authority on the subject. And I am unsure how I feel about these cars,,R_1lodxBilvp75rkI,0
231,xB5,AV2.auto,4,0,"I feel like I have to have some type of control, reminds me when you are driving using cruise mode.",,R_1db6307z2sTGgnI,0
239,xA5,AV2.lever,3,0,Without more details I cannot solidify my answer.It does solve one of the problems I associate with self-driving cars but how will that work? Do you select before starting? While driving? I know it seems I am wasting time on a hypothetical but my college kids and myself were just having a conversation relating to self driving cars last weekend,,R_3fBnQgPw8T60Jk5,0
245,xA5,AV2.lever,5,0,Computers can have problems.  I think it is very important that there be a way of taking control from the machine if it is not operating correctly.  If it is connected to the internet it could get a virus or hacked.,,R_C4i7mOt1IrpW41z,0
259,xB5,AV2.auto,5,0,I think it is a good idea that a human can utilize their own judgment to take control of the car. I feel that my judgment might be better than a computer/robot.,,R_pQrTyGRRP54snJf,0
265,xA5,AV2.lever,5,0,people want choices and they also want to feel like they are in control,,R_10w2OEIHLuuJwXu,0
269,xB5,AV2.auto,4,0,I think people should have some control of their cars. Having absolutely no control is scary so this seems appropriate to me.,,R_qOcWATXhbgeox5T,0
273,xA5,AV2.lever,5,0,I feel sometimes it may be necessary to drive it manually if dangerous road conditions exist or other matters that can make it feasible. but other times it may be fine to have the car drive itself. just depends but you have the option.,,R_3KW6PF6VSJHgNJy,0
280,xB5,AV2.auto,5,0,It is not safe for the car to be completely robotic,,R_32JDvH79u7XlMsM,0
291,xB5,AV2.auto,5,0,Because it is like cruise control on cars - the cruise is overridden by the application of a brake. This is beneficial in the case of an emergency where the driver must brake quickly to stop. He or she may not have time to go through the steps of deactivating the cruise control manually; the brake is quicker. It is the same for self-driving cars.,,R_26kYFxI1c6dHGPp,0
293,xA5,AV2.lever,5,0,"I think that is very smart. I personally wouldn't feel comfortable in a completely self-driving car, so having the option to switch back to human-driving would put me much more at ease. I would just like the actual control to be hidden well enough or, not something a child could accidentally push.",,R_3MRoHdyjDvdxvc9,1
299,xA5,AV2.lever,5,0,it seems logical to let the car go in manual so you can have control,,R_2wpLxOYHSkXgfP5,0
301,xA5,AV2.lever,5,0,This reflects exactly how I currently feel towards self-driving cars. It's simple to add a manual mode and it could save someone's life if they need to take over.,,R_3ESVslT0lmPEP6f,0
304,xB5,AV2.auto,5,0,YOU WOULD STILL BE ABLE TO HAVE SOME CONTROL OVER THE CAR IN CASE OF EMERGENCY.  SOME PEOPLE MAY WANT TO GO BACK AND FORTH BETWEEN SELF-DRIVING AND HUMAN DRIVER.  I JUST THINK PEOPLE WOULD BE MORE LIKELY TO PURCHASE THE SELF DRIVING CAR IF THEY COULD STILL BE IN CONTROL.,,R_3kazTXfM6sdwmuO,0
313,xA5,AV2.lever,5,0,The freedom to choose whether or not your car is in a self-driving automated mode makes a lot of sense and alleviates some of the pressure from people like me who fear privacy violation from it.,,R_1C7v6F4fKfz1BAP,0
320,xB5,AV2.auto,5,0,We cannot sole rely on technology to solve the world's problems. Human intelligence will always triumph technology.,,R_2dmAAsRJrfMKkZA,0
326,xB5,AV2.auto,5,0,in case of a glitch or failure a person can take control. Also a person may detect or see an issue the car is unable to perceive.,,R_2eRukfTdgzs2kJs,0
329,xA5,AV2.lever,5,0,"It allows the customers to choose for themselves what to do without picking a whole different car.  Also, there are some situations that may still be safer with a human driver, or there could be a virus in the machines, so turning it off should always be an option.",,R_2B3WaqfBnglEh16,0
340,xA5,AV2.lever,5,0,"i think this is better for safety.  there may be some dangers that a robot will not pick up on.  plus, i think consumers like choice.",,R_26gsDrXc4PXeajB,0
344,xB5,AV2.auto,4,0,"I chose somewhat appropriate because in the case of an emergency a human might be more likely to make a better decision than the car's computer. However, this might raise a problem if somehow by accident the self-driving mode is turned off without the human driver being aware to it and alert, which might cause an accident because of this.",,R_3Js14phlkA3gF1c,0
348,xA5,AV2.lever,4,0,It's a good thing that the CEO did decide to create a device that will help drivers switch from self-driving or human-driving. But then there's always the question of will the lever always work or what would happen if the lever breaks and is stuck in only one of the driving modes.,,R_1QMeHVqYR3jQ4D7,0
354,xB5,AV2.auto,4,0,"I think it's somewhat appropriate because people should have the freedom and ability to override the self-driving vehicle at anytime, whether for their own safety or simply because they feel like it. However, saying that any use of the brakes, gas pedal, or steering wheel will automatically override the self-driving mode seems dangerous to the occupants and others on the rode. Theoretically, if a vehicle is self-driving than people will be able to do other activities while in transit. There are many possible scenarios where they could accidentally override the self-driving mode expectantly and put their lives or the lives of others in danger.",,R_3haNdx2Ss1D5p0i,0
361,xB5,AV2.auto,5,0,"It makes sense to have the ease of a self-driving car, but also have a back-up in case of an emergency.  I would certainly buy a car like this, of which I had a choice to go automatic or manual.",,R_3qEdWwb8CS0nwvw,0
363,xA5,AV2.lever,5,0,i feel that too. i would feel more safe and i think its the right thing to do,,R_2qeKm0rUSm0T3eK,0
6,xA1,AV1.match,4,0,"I think having the vehicle measure the length / average length of the yellow lights and making a judgement on timing is a better option. I think that if someone is driving like a jerk, and it matches them, all taht would do is create unsafe conditions.",,R_1PUxN9dIpY6JF1c,0
7,xA1,AV1.match,2,1,People might be doing the wrong thing and there the self-driving car would also be taking the wrong action.,,R_2OZtbZQX4PsLiJg,0
22,xA1,AV1.match,1,1,"Many people accelerate to blow through yellow lights instead of stopping in anticipation of the red light.  I don't think the cars should match what other people are doing on the road, because other people don't always make the best decisions.",,R_1P0FcSwkdE8EjNl,0
27,xB1,AV1.brake,5,0,because it is appropriate to the situation,,R_1dvusxjMmswyoFu,0
28,xB1,AV1.brake,5,0,I think that is a great idea to program the self-driving cars to put on the brakes when they are approaching a yellow light. It seems like this would be a great way of not crashing into the car in front of you.,,R_3mmKDlvA0q3gwqf,0
36,xA1,AV1.match,4,0,"It can be hard to predict what other drivers are going to do, and it would most likely cause the fewest traffic accidents if the self-driving car followed the flow of traffic rather than always speeding up or stopping. As more self-driving cars enter the market, though, it might be better to have a set solution so all the self-driving cars do the same thing rather than trying to watch each other and not being able to come to a conclusion about what they should do.",,R_2Pwnr29JviUkHt3,0
39,xA1,AV1.match,5,0,It is a safe options that reduces the odds of an accident.,,R_1n8je8wezkKK3Bd,0
42,xB1,AV1.brake,5,0,"I think the decisions errors on the side of caution. As long as the car only brakes when the yellow light is in front of it, such as not turning yellow while you are in the middle of the intersection or the yellow light isn't for traffic coming from other directions or in for a different lane then the one you are in, this seems like a good solution.",,R_1rwbVAntIwUvr09,0
48,xA1,AV1.match,4,0,"I think in high traffic areas having the self driving cars mimic the behavior of cars around it would help, but only a little bit.  Sometimes there are terrible drivers around and you wouldn't want the self driving car to drive in that manner.",,R_2wny3tYuqZVhO4e,0
50,xB1,AV1.brake,5,0,The car company doesn't want people to die using its products. Also they don't want to be sued.,,R_2170LaSAEwbyx2m,0
53,xA1,AV1.match,1,1,How do you avoid aggressive drivers who want to make it before the yellow light is off.  Intersection is the most dangerous area when considering self-driving vehicles.,,R_1FICBOHVH220YQD,0
57,xB1,AV1.brake,1,1,"it would keep self driving cars from causing accidents, however i am not supportive of self driving cars at al.",,R_1kLAMeMgIvWM003,0
70,xB1,AV1.brake,4,0,I feel that is the way to be cautious and keep accidents to a minimum but I am still skeptical as to if this is the right avenue as there could be circumstances where this might not be valid.,,R_2tzcxzGHTjLmySb,1
76,xB1,AV1.brake,3,0,I don't trust the concept of self driving cars and think this will be disastrous for everyone.,,R_22lfMRaCM0L6Tr4,0
86,xA1,AV1.match,1,1,"When a light is turning yellow, there are some cars that need to excelerate to get through or they will end up stopped partially in the intersection, but there are other times there is plenty of room to stop. If you are behind two or more vehicles, each in a different lane, that are accelerating because there is not enough stopping distance, and there are no other cars around that are deccelerating, then you would accelerate and end up in the intersection after the light turned red.",,R_1mfp2PZj11fUyiA,0
90,xB1,AV1.brake,5,0,"A yellow light means to slow down, so as long as the car isn't coming to a complete stop where it stands at a yellow light, braking when coming upon a yellow light is the exact physical action one should take.",,R_4ZrGii7K7HMr8rv,0
97,xA1,AV1.match,1,1,"I think this would be dangerous ... some drivers misjudge their timing, etc. when they're near a traffic light, and if an automated car imitated them it could lead to bad accidents. Also, even if a driver nearby makes the light, there's no guarantee that a car behind it would -- or that ongoing traffic would adjust.",,R_2SB9zDEH3P12L2q,0
107,xB1,AV1.brake,4,0,"I think that it most cases this is the best option, based on the assumption that the collision danger is that of cross traffic. However, I would only support this if the algorithms that control this decision also take into account cars behind the vehicle, so that the braking isn't done so sudden that it causes the driver behind the car to hit the vehicle.",,R_2bVrYRE1Bag9aaZ,0
112,xA1,AV1.match,4,0,"There is usually only time for one car to go through a yellow light safely.  If all cars were programmed to match the braking behavior of that one car approaching the yellow life, this would be fine.  But if the one car approaching the yellow light is accelerating and the other cars match that behavior, it would be dangerous.",,R_29v2O6CKxs3speg,0
121,xB1,AV1.brake,5,0,Because it seems like the most logical thing to do. In order to ensure safety of everybody the car should be programmed to slow down when they are close to a yellow light.,,R_1OJmiFFmPyXVetF,0
122,xB1,AV1.brake,5,0,"I chose this option because it is the best out of the ones presented. With the breaking at yellow, it would prevent accidents from red light runners.",,R_272RamUs4rZYWJm,0
127,xA1,AV1.match,4,0,if someone is speeding up the car might run a red light vs stopping.  However it will stop a lot of car from being rear ended by sudden stops.,,R_8ukiOy91joGzOrT,0
134,xB1,AV1.brake,5,0,A yellow sign is a signal to slow down because the light is about to turn red - this applies to humans so there's no reason it shouldn't apply to self driving cars too,,R_sX7nlGgA345W1iN,0
147,xB1,AV1.brake,4,0,It appears to be that the director has decided in the interest of safety to stop the car rather than let it go through a late yellow light.,,R_1E1fQR8FSCQeCvp,0
151,xA1,AV1.match,4,0,"I just felt it's the appropriate answer, given the chances of accidents.",,R_2pKMJmNBO6iIbHg,0
155,xB1,AV1.brake,5,0,I think it is better to stop at a yellow light rather than risk going through it.,,R_71bwwIaEviU5sNH,0
159,xA1,AV1.match,4,0,BECAUSE IT WAS ONLY SOMEWHAT APPROPRIATE,,R_2c7qjloe9ShE0nU,0
175,xA1,AV1.match,1,1,He wants to count on other idiots on the road. The whole point of self driving cars is to cut the level of stupidity not duplicate it.,,R_1gnzRUqTXU4qCBl,0
177,xB1,AV1.brake,4,0,I think they need to uniformly come to a stop instead of instinctively speeding up at yellow lights.,,R_oXHNS0SWGOZUCPf,0
179,xB1,AV1.brake,4,0,Because this would decrease the chance of accidents because the car would be stopped this avoiding an accident.,,R_uwPGI1hB5cyMsRH,0
191,xA1,AV1.match,3,0,PEOPLE TEND TO SPEED UP AT YELLOW LIGHTS. EVERYONE SPEEDING AT THE LIGHT IS A BAD IDEA. SOME PEOPLE ARE SKITTISH AT LIGHTS. IN THE AREA I LIVE IN A LOT OF ELDERLY PEOPLE SLAM ON THEIR BRAKES AT THOSE LIGHTS. TOUGH CALL I THINK,,R_1jfcE93UONrsPVL,0
200,xB1,AV1.brake,4,0,"A caution light means it's about to change to red, red means stop.",,R_3soh3hkgRsYJcui,0
206,xA1,AV1.match,1,1,"The nearbye car can be some ...unruly person who is flooring it to beat the light. OR, the nearbye car could be someone slamming on the brakes inappropriately. It's idiotic.",,R_bOyjzlEKnqdZS0h,0
212,xB1,AV1.brake,4,0,This could potentially cause an accident due to other drivers who tend to speed up at yellow lights. If all people fooled the rules of the road this would be more appropriate.,,R_1OPI1XHNeauXwBC,0
214,xA1,AV1.match,2,1,If traffic is speeding or there is a malfunctioning part in my car it could be dangerous.,,R_tXQQvtlWdQB7ftT,0
223,xB1,AV1.brake,4,0,Because you're supposed to slow down when the light turns yellow. This will decrease the amount of cars that run red lights behind the car.,,R_ZL8hkGmhy7FcD5L,0
227,xA1,AV1.match,4,0,"This behavior will generally work, but sometimes a car in front of you will speed up to get through a yellow light, but you won't have time to do the same and still make it through. In this way, the self driving cars might run a red light accidentally.",,R_2anIjrR7oGmJ3lH,0
232,xB1,AV1.brake,4,0,I think the measure is not specific enough as to how else it can avoid accidents. stopping in front of a yellow light might not always be safest,,R_Ubidl0OrWPbNYHL,0
236,xA1,AV1.match,5,0,"I think its smart to adapt the cars in its current environment
",,R_XY37ZI7fwqnpHjz,0
243,xB1,AV1.brake,5,0,The probability of accidents increase at yellow lights because most people speed up as a opposed to slowing down and stopping.  Installing software to have the car stop at a yellow light seems appropriate given the high number of accidents by people failing to slow down or stop at yellow lights.,,R_3Rt5tvAyqoSDZJb,1
251,xA1,AV1.match,2,1,Relying on other vehicles may be a bad idea because you can't always trust that the actions of other drivers on the roads are appropriate and safe. There would also be an issue if no other cars are in the vicinity or if the other nearby cars are also self-driving.,,R_2PAONA5mZy3A1y3,0
255,xB1,AV1.brake,4,0,"It sounds like a great idea, but there could be problems with the cars behind these cars braking at yellow lights, being able to break in time.  Other than that, I think this is the right idea.",,R_3ewpKNtDeDWLsFg,0
256,xA1,AV1.match,2,1,"I think the car should instead calculate if they can slow down at a reasonable speed to stop before it hits the intersection. If it can, then slow down and stop. If not, continue driving through the light.",,R_1IMcu6lfTfJf2jX,0
262,xB1,AV1.brake,4,0,It's better to brake sooner than later. I think that yellow means to slow down and break anyways this is kind of a no brainer.,,R_1rdnIObUorxAsJ2,0
267,xA1,AV1.match,2,1,"If it matches the behavior of nearby cars I do believe that may lessen the risk of an accident, but it can also cause one. The nearby cars aren't guaranteed to be self-driving as well, so if a nearby car was speeding through the light and the self-driving car followed suit, it could get hit in an intersection.",,R_10ZreRs1gkTZ9zJ,1
275,xB1,AV1.brake,4,0,Because he has made a decision that will ensure the safety of thousands of persons.  If the car stop at the light when it yellow then that ensures that there even flow of traffic.This makes the enviroment safe.,,R_2Pj0MGi5di5dIOE,0
282,xA1,AV1.match,3,0,It does make sense that if a car can tell if cars nearby are slowing down that it should too. The problem is that many people in my area accelerate and try to beat the yellow light. There's also the issue of people who are excessive breakers.,,R_3h0f5TbwP60ELts,0
289,xB1,AV1.brake,5,0,"It makes senses because that's what most of us do anyways.  The people that decide to hurry on yellow many times end up running a red, and it can be very dangerous for others.  I see it on a daily basis, I just don't get it though.  You aren't saving much time by not sitting at one light, instead you are putting many others at risk including yourself.",,R_SYQX9FgnNa93n8d,1
294,xB1,AV1.brake,5,0,The option makes sense and a yellow light was designed for drivers to slow down upon approach. The car would be choosing the safer option.,,R_NXaUdKz1sOGbsdP,0
297,xA1,AV1.match,4,0,"I think it's the best option for our current technology, but I don't know how I feel about self driving cars in general.",,R_u2DBYylYalW4Tp7,0
308,xA1,AV1.match,3,0,"A self-driving car must be able to respond the same as a human, but what will happen when all the cars are self-driving and all they are doing is following each other without the common sense humans have.
On the flip side, a self-driving car won't be texting or getting drunk.",,R_06zFmhHf8HUYi1b,0
309,xB1,AV1.brake,5,0,"it would be a lot safer if one braked when the light turns yellow, and slow down",,R_3holiFAaj7mEXur,0
310,xB1,AV1.brake,2,1,This will cause more accidents.,,R_3Dkdob5bZAlHpw0,0
321,xA1,AV1.match,3,0,I went with my gut instinct.,,R_1pYUkHLDtfy73JK,0
327,xB1,AV1.brake,4,0,"The concept of self-driving is unsettling, the idea that machines are better at making decisions than adults is not natural.",,R_1N9CBgk9aqJAySe,0
338,xA1,AV1.match,4,0,It make sence to match the speed on the car infront of you. However the distance has to be calculated very carefull to give the car enough time to cross the intersection on yellow light but not on red.,,R_XZFc5XtwJnPsLZv,0
